treatment,individual,EL,EW,FPW,GW,HL,ML,MPW,MW,PL,PC1,PC2
ILPE,7,1251.73,1344.75,1148.87,1303.25,203.54,427.25,1441.37,266.55,1042.96,-1.052803606,1.04894074
ILPE,8,1218.56,1299,1149.95,1227.44,185.76,398.58,1417.55,225.95,1021.71,-2.313917387,0.685560077
ILPE,9,,1488.97,1327.42,1492.83,214.5,606.62,1603.77,283.39,1194.21,,
ILPE,10,1257.21,1362.48,1190.84,1298.01,192.38,460.63,1472.08,273.45,1045.54,-0.649955157,0.762601892
ILPE,11,1333.53,1454.81,1309.96,1451.25,203.48,524.14,1601.62,300.73,1163.53,2.450228928,-0.10469577
ILPE,12,1282.69,1366.81,1209.55,1346.77,223.34,494.73,1494.81,272.14,1068.07,0.295123083,1.090053938
ILPE,13,1291.98,1389.37,1225.42,1337.84,190.22,493.09,1497.03,272.06,1081.57,0.181579346,0.295246082
ILPE,14,1309.29,1428.76,1271.59,1398.69,226.42,589.99,1553.06,292.1,1154.27,2.094495255,0.781692191
ILPE,15,,1462.12,1309.38,1480.2,216.8,591.46,1590.39,328.34,1167.59,,
ILPE,16,1300.89,1380.27,1218.47,1358.01,214.54,518.4,1499.24,271.49,1112.37,0.683700093,0.716671546
ILPE,17,1255.91,1433.7,1271.61,1420.38,223.51,580.86,1554.45,274.94,1101.41,1.497834825,0.943493224
ILPE,18,1251.95,1375.37,1249.64,1388.73,212.33,516.49,1526.28,257.97,1094.84,0.518912929,0.807476341
ILPE,19,1339.15,1440.02,1291.46,1477.22,210.07,586.83,1581.31,293.84,1138.97,2.416148425,0.300527348
ILPE,20,1260.41,1377.65,1200.73,1342.26,199.02,563,1492.83,266.13,1099.01,0.194703696,0.855323204
ILPE,21,1303.76,1406.65,1271.66,1371.19,199.01,506.4,1545.67,258.65,1128.23,1.010631178,-0.085595108
ILPE,22,1332.61,1458.62,1309.15,1499.33,207.87,594.23,1625.27,280.86,1156.56,2.73563352,-0.051841539
ILPE,23,1295.91,1377.91,1229.7,1328.99,210.17,516.15,1497.34,259.58,1079.32,0.3395802,0.569012537
ILPE,24,1328.88,1415.24,1247.22,1386.52,205.69,501.75,1526.23,247.36,1096.96,0.883519541,-0.15836766
