Diet,Pronotum,Mass0,Delta_smi,Song_week1
72,2.384615385,0.20139,0.055948429,1533
84,2.227884615,0.17921,0.028479912,2028
84,2.399038462,0.19832,0.031943936,5444
84,2.500961538,0.25102,0.014748147,2759
84,2.600961538,0.24591,0.054332287,651
84,2.456730769,0.19458,0.035504668,13112
84,2.755769231,0.2228,0.086140342,27973
84,2.356730769,0.1803,0.027773734,1319
84,2.480769231,0.22122,-0.005695467,0
84,2.578846154,0.226,0.059729741,9086
84,2.5625,0.23028,0.054464607,11813
84,2.359615385,0.26057,0.018253727,85057
84,2.663461538,0.23218,0.059105831,423
84,2.682692308,0.24225,0.052509865,13
84,2.467307692,0.25249,0.026730992,14120
84,2.331730769,0.19373,0.021053113,8878
84,2.294230769,0.19572,0.024410504,1020
12,2.442307692,0.1928,0.008695024,0
12,2.486538462,0.20767,-0.015091738,109
12,2.279807692,0.2173,-0.046530251,252
12,2.549038462,0.21814,-0.025331688,14
12,2.394230769,0.22123,-0.011712746,678
12,2.283653846,0.1743,NA,0
12,2.201923077,0.17556,-0.001617494,79
12,2.129807692,0.16892,NA,0
12,2.360576923,0.18741,-0.020009795,0
12,2.452884615,0.20222,0.003638015,720
12,2.3125,0.17659,0.004580205,57
12,2.634615385,0.23309,-0.027452034,35
12,2.438461538,0.22763,-0.018215799,138
12,2.515384615,0.21802,0.000970092,0
12,NA,0.16515,NA,0
12,2.222115385,0.15524,-0.007749418,0
24,2.456730769,0.20516,0.000260904,17
24,2.326923077,0.19047,0.016808485,1355
24,2.265384615,0.16403,0.009298951,169
24,2.169230769,0.16084,0.007617321,2823
24,2.384615385,0.20081,7.05021E-05,5971
24,2.505769231,0.22604,-0.003911077,1464
24,2.355769231,0.1854,0.003690182,840
24,NA,0.23308,NA,0
24,2.634615385,0.23913,0.018232,0
24,2.375,0.19017,0.012729081,335
24,2.285576923,0.15563,0.009567088,27
24,2.25,0.2397,-0.021009459,28087
24,2.214423077,0.1522,0.014761882,658
24,2.25,0.19772,-0.005328297,4725
24,2.481730769,0.24226,-0.007664724,10395
24,2.384615385,0.19486,0.010343661,274
36,2.476923077,0.28081,-0.022835763,4317
36,2.454807692,0.20911,0.021633298,25
36,2.336538462,0.18381,0.032511587,4926
36,2.616346154,0.24567,0.045745108,1769
36,2.426923077,0.2012,0.019576101,2256
36,2.442307692,0.20345,0.001638348,11990
36,2.428846154,0.20485,0.000675682,0
36,2.504807692,0.2512,-0.009802353,398
36,2.231730769,0.18416,0.00333143,327
36,2.576923077,0.25065,0.014142128,5519
36,2.4375,0.20084,0.015299448,5777
36,2.543269231,0.21647,-0.024745444,93
36,2.350961538,0.17834,0.005535498,76
36,2.298076923,0.18311,0.020319676,197
36,2.457692308,0.19994,0.017987787,1527
36,2.459615385,0.18178,0.02634344,0
48,2.629807692,0.24926,-0.008581568,929
48,2.511538462,0.2181,-0.001357414,1792
48,2.397115385,0.22661,0.008594802,266
48,2.307692308,0.20406,-0.006963394,110
48,2.689423077,0.27539,0.036699005,39225
48,2.490384615,0.24656,-0.048190333,462
48,2.519230769,0.2252,0.018017125,562
48,2.496153846,0.27305,0.002751673,538
48,2.496153846,0.23449,0.003872724,2172
48,2.514423077,0.24093,0.027528244,5891
48,2.375,0.24689,-0.039592726,8093
48,2.397115385,0.20046,-0.000234775,845
48,2.490384615,0.20636,0.03966894,1205
48,2.313461538,0.20867,NA,0
48,2.509615385,0.22413,-0.008139989,0
48,2.409615385,0.2005,NA,0
60,2.247115385,0.17807,0.01479068,2807
60,2.548076923,0.21662,0.020042827,1486
60,2.307692308,0.17782,0.027399845,2993
60,2.342307692,0.2012,0.030264635,8289
60,2.529807692,0.23381,0.004523615,27414
60,2.438461538,0.20963,0.040366979,20985
60,2.601923077,0.23943,0.043313071,8364
60,2.472115385,0.2256,0.03943544,61903
60,2.352884615,0.19045,0.0374576,0
60,2.600961538,0.23746,0.013211881,306
60,2.260576923,0.15543,0.01667005,4346
60,2.2375,0.16957,0.025887343,2237
60,2.329807692,0.19973,0.012772188,35
60,2.6875,0.26383,0.053490337,2989
60,2.3125,0.16515,0.03260138,3269
60,2.384615385,0.22513,-0.014533498,10568
72,2.390384615,0.2098,0.00181404,11335
72,2.377884615,0.19959,0.016688362,2858
72,2.211538462,0.18825,-0.0046662,0
72,2.449038462,0.2592,0.020565015,64935
72,2.428846154,0.21408,0.019953726,274
72,2.467307692,0.22863,0.020279063,27116
72,2.534615385,0.22074,0.044290963,6615
72,2.250961538,0.19561,0.023186985,9739
72,2.575961538,0.25211,0.057066801,8953
72,2.4375,0.22489,0.021201882,4694
72,2.5625,0.25106,0.059381803,5590
72,2.524038462,0.21147,0.030688283,10578
72,2.524038462,0.22065,0.033472831,8551
72,2.259615385,0.17144,0.016686975,145
72,2.374038462,0.20761,0.004172241,0
72,2.480769231,0.21283,0.026515686,1248
84,2.264423077,0.17652,0.032727056,17197
84,2.504807692,0.221,0.024528731,1294
84,2.423076923,0.19681,0.048489859,3888
84,2.418269231,0.21022,0.021537898,36638
84,2.5125,0.20886,0.048569423,13565
84,2.399038462,0.21386,0.0296425,5429
84,2.298076923,0.17449,0.046530043,1618
84,2.294230769,0.20509,0.001924744,8957
84,2.247115385,0.18412,0.047053391,18804
84,2.519230769,0.2334,0.066770027,8983
84,2.375961538,0.19527,0.029416041,1154
