name,sex,mass,bodylength,taillength,taildiameter,headwidth,headlength,meanforearm,meanhindlimb,meanfootlength,bodysize_PC1,acceleration,sprint,jump,grasp,bite,motorcontrol,maneuverability,Max_O2_consump,Performance_PC1,Performance_PC2,Performance_PC3
52,m,350,174,226.6666667,14.34,32.47,63.01666667,50.00833333,61.24333333,38.19833333,-0.723483994,-0.920048168,1.106300083,-0.131378621,1.005404687,-0.703814266,-0.101134214,0.256038671,0.267083832,0.44917422,0.12887212,-0.122638386
53,f,255,155.6666667,209.3333333,10.87,32.74,63.25666667,47.47166667,60.605,36.66666667,-2.171795391,-0.798098718,0.066572981,1.439050024,-0.748112816,0.532284861,0.840879038,-1.165487325,0.500483094,-0.67003676,0.15330399,0.07195003
54,f,253,155.6666667,181,12.40333333,30.67,63.17,44.16833333,56.92666667,37.34666667,-3.073596075,0.15925724,0.396034325,1.316056849,-0.436589416,-0.602514348,1.317217815,-0.291590131,-0.311843694,-1.31841738,1.27392608,-0.115891577
55,f,224,143.6666667,190.6666667,12.20333333,31.48666667,62.55666667,44.42833333,54.13166667,34.905,-3.76309019,0.404142533,-0.359860519,-0.233657156,-0.954926356,-1.350663858,-0.474014459,-2.279051739,-1.08347219,-1.928629,-0.88198142,2.257112442
56,f,397,180.3333333,219,16.5,35.48,65.21333333,47.78833333,58.66333333,37.29,-0.319707184,-2.464429701,-3.774320847,-0.298390406,-0.148059246,0.10046879,-0.256771186,0.795389128,-0.369619194,-1.01977687,-3.20885729,-2.199161766
57,f,336,191.3333333,236.6666667,14.32333333,35.40333333,63.15333333,50.38833333,63.325,36.01166667,0.047657283,0.756458248,0.365884519,0.453809959,-0.260254625,0.676012569,1.317217815,0.36607399,1.299406588,0.70068839,1.18180535,-0.82658154
58,m,606,210.6666667,231.3333333,19.57,38.87,70.27333333,56.29,69.03333333,39.08333333,3.841215473,-0.480341404,-1.125886045,-1.820916446,0.439608009,0.440495671,-2.497429081,-0.319794445,0.272007822,1.48155792,-2.63114966,0.935152833
59,f,272,163.6666667,221.3333333,13.52,32.92333333,63.75333333,48,60.91166667,33.58333333,-1.803188111,3.037797245,1.458229188,1.861110814,0.161769289,-1.155269919,0.150559952,0.250431144,-0.638051011,-0.45636592,3.50568576,1.599047935
60,f,280,175,213.6666667,11.54333333,33.11,63.67,48.19833333,60.66166667,36.22833333,-1.549528205,-0.856970866,0.169289909,0.969086629,0.443990066,-0.521880488,0.840879038,1.995955536,0.172088701,-0.18670369,1.05425305,-1.968525896
61,f,284,166.6666667,226.3333333,12.36333333,33.66333333,65.27666667,47.87166667,60.63666667,36.87,-1.205081821,0.368043973,-0.776764362,0.225948919,-0.095432619,-0.578022874,0.840879038,1.232692908,-0.268462001,-0.65882233,0.56026768,-1.216394825
62,f,325,183.3333333,243,13.28,33.35333333,67.34333333,49.20833333,63.27666667,38.31,0.128412309,0.025972913,1.25096248,-0.335935691,0.484418661,-0.765058303,0.331888007,0.879728241,-0.559621262,-0.07563588,0.92248268,-0.288029025
63,f,363,191.3333333,233.3333333,13.50333333,37.27666667,64.71666667,53.24833333,64.93166667,37.45166667,0.953504232,-0.267574485,0.942961721,-0.583216706,-1.521553335,-0.394794534,0.953584195,-0.50872406,1.803708422,-0.14076926,0.04107369,-0.18393525
